Feature,Importance
"categorical__Main Cause_flood (indrayani, mula, panchganga, pavana)",2.5205069764728686e-05
"categorical__Main Cause_flash flood (krishna, ghatprabha,malprabha)",2.4459502182683716e-05
categorical__Main Cause_severe food,2.4367851465147974e-05
"categorical__Main Cause_rivers gomti, ghagra,tapti in floods",2.293402246879621e-05
"categorical__Main Cause_flood (bhima, bindusara,chandrabhaga)",2.2698847448030453e-05
"categorical__State_Uttar Pradesh, Bihar",2.2049410659635534e-05
"categorical__Main Cause_severe flood . (brahmaputra,its tributaries)",2.1814905788370404e-05
categorical__Main Cause_flash flood (palem),2.0983030944951556e-05
"categorical__Main Cause_severe( godavari, dudhana,poorna)",2.070732804368772e-05
"categorical__Main Cause_severe flood (narmada,sabarmati)",2.0256359417066012e-05
"categorical__Main Cause_heavy rains, floods",1.9598613893141323e-05
"categorical__Main Cause_severe flood(bagmati, kosi,kamala balan)",1.940556918484766e-05
"categorical__State_Assam, Manipur, Arunachal Pradesh",1.9083668401114083e-05
"categorical__State_Andhra Pradesh, Telangana",1.7655347419029817e-05
categorical__Main Cause_severe flood (ghaghara),1.7477443127973763e-05
categorical__Main Cause_flood (gomati),1.6533467145292707e-05
"categorical__Main Cause_severe flood(adhwara, bagmati, burhi gandak, gandak, ganga, ghagra, kamla balan, kosi, kreh, mahananda, punpun,sone)",1.59782207249281e-05
"categorical__Main Cause_severe flood (tapi,mahanadi)",1.5390952642862416e-05
"categorical__Main Cause_severe flood  (ganga,its tributaries)",1.4850809318222306e-05
"categorical__Main Cause_severe(ganga, yamuna,their tributaries, ghagra, rapti, gomti,burhi-gandak,betwa) )",1.3766001576662132e-05
categorical__Main Cause_heay rains,1.3626691415205822e-05
"categorical__State_Bihar, Odisha, West Bengal, Assam, Andhra Pradesh",1.2794901996026332e-05
categorical__Main Cause_severe floodi) (narmada),1.2513516670431931e-05
categorical__Main Cause_flood (mahanadi),1.2426726536220755e-05
categorical__Main Cause_flash flood (brahmaputra),1.1609398092171182e-05
"categorical__Main Cause_moderate, severe",1.0530040322677781e-05
"categorical__Main Cause_severe (mahanadi, brahmani, baitarni & devi rivers)",1.0494310575604117e-05
"categorical__Main Cause_flash flood (godavari,rivulets)",1.0384138625655569e-05
"categorical__Main Cause_severe, moderate to severe",9.468151939046891e-06
"categorical__State_Jammu and Kashmir, Punjab, Uttar Pradesh, Assam,  Arunachal Pradesh",7.987203057510205e-06
"categorical__State_Rajasthan, Punjab, Uttar Pradesh",7.985911102672278e-06
"categorical__Main Cause_severe(ganga , yamuna, ken shandrawal, rapti, sarju, gadri,ghagra )",7.846354185628215e-06
"categorical__State_Uttar Pradesh , Uttarakhand",7.831336465125889e-06
"categorical__Main Cause_floods in ghagra, rapti , burhi,kawano",7.046071717414731e-06
"categorical__Main Cause_severe flood(ganga,its  tributaries)",6.476296827990097e-06
"categorical__State_Odisha, Bihar, Assam, West Bengal",5.589685190458384e-06
"categorical__Main Cause_severe flood(ganga, bagmati, kosi, mahananda. adhwara, gandak,burhi gandak)",3.433082608929985e-06
numeric__Event_Source_Available,0.0
