Feature,Importance
"categorical__Main Cause_heavy rains, flood & landslides",0.0001115665538081
"categorical__Main Cause_severe(brahmaputra,its tributaries)",0.0001086248750214
"categorical__Main Cause_severe (betwa,kunwari)",0.0001085010352242
categorical__Main Cause_heavy rains & floods in narmada & tributaries,0.0001077681735879
"categorical__Main Cause_flash flood, heavy rain",0.0001048264803794
categorical__State_Nagaland,0.0001041073864205
"categorical__Main Cause_flood (ghagra,sharada)",0.0001028985185009
"categorical__Main Cause_severe flood(brahmaputra,its tributaries)",0.0001003220524678
categorical__Main Cause_flash floods in lohit river,0.000100284308153
"categorical__Main Cause_heavy rains, flash flood as a result of cloud burst",9.950747439083711e-05
"categorical__Main Cause_heavy rains, cloud burst,  floods",9.937007112474286e-05
"categorical__Main Cause_flash flood(brahmaputra,its tributaries)",9.931061683395346e-05
"categorical__Main Cause_severe flood (jiadhal,semen)",9.882933176201663e-05
"categorical__Main Cause_heavy rains & floods (krishna,godavari rivers)",9.705163015663108e-05
categorical__Main Cause_heavy rains & flood in mahananda river,9.671704447136996e-05
"categorical__Main Cause_flash flood (jhelum, chenab)",9.5433140497121e-05
categorical__Main Cause_moderate (tunga river),9.466312675345518e-05
"categorical__Main Cause_heavy rains & floods in sharada, rapti, sharayu & ghagara river",8.612891082629409e-05
"categorical__Main Cause_severe flood (ganga,its tributaries)",8.362778439327656e-05
"categorical__Main Cause_flood (mahanadi,its tributaries)",8.249591805057506e-05
"categorical__Main Cause_heavy rains, (flooding of tawi river.)",8.165857235509904e-05
"categorical__Main Cause_heavy rains, flash floods & landslide",8.108103447241034e-05
categorical__Main Cause_updated report not yet received,8.104824402406269e-05
"categorical__Main Cause_severe (godavari, manjira, lendi,manya)",8.084551766252366e-05
categorical__Main Cause_heavy rains & flash floods,7.929851047758997e-05
categorical__Main Cause_flood (ganga),7.788117532779156e-05
categorical__Main Cause_flood (krishnavati),7.667455865998397e-05
categorical__Main Cause_narmada river in spate,7.546814630731613e-05
categorical__Main Cause_heavy rains & floods in ghagara river,7.218223657785807e-05
categorical__Main Cause_heavy rains & flash flood as a result of cloud burst,7.147214687120336e-05
categorical__Main Cause_unprecedented heavy rains & floods,7.083978402927636e-05
categorical__Main Cause_belgaum,7.014969696674434e-05
categorical__Main Cause_severe (flash floods),6.953115312400509e-05
categorical__Main Cause_flash flood or moderate flood,6.814539664863763e-05
"categorical__Main Cause_heavy rains, moderate, severe",6.804195685294193e-05
"categorical__Main Cause_flood (karamana, neyyak,vamanapuram)",6.765528034227137e-05
categorical__Main Cause_moderate (kajihi),6.636627110893392e-05
"categorical__Main Cause_flash flood(baksa, dhaleswari,kushiara)",6.572559725007329e-05
categorical__Main Cause_flash flood (jhelum),6.494458611655719e-05
"categorical__Main Cause_heavy rains & flood  (brahmaputra,tributaries)",6.467324552741208e-05
categorical__Main Cause_landslip,6.415557518854835e-05
categorical__Main Cause_heavy rain & flash floods,6.243188076543721e-05
"categorical__Main Cause_flash flood (brahmaputra,its tributaries)",6.009815325388323e-05
categorical__Main Cause_heavy rains & floods (godavari river),5.891368966928615e-05
"categorical__Main Cause_severe(flash flooding in palar,mahakamanta)",5.666566190606516e-05
categorical__Main Cause_heavy rain & flash flood,5.608775156751957e-05
"categorical__Main Cause_severe flood(saktola,pahumora)",5.5905886143519424e-05
categorical__Main Cause_flash flood(tambraparni river),5.538229808217208e-05
categorical__Main Cause_heavy rains & cloudburst,5.482866776459231e-05
categorical__Main Cause_flood (ujh),5.345373807757551e-05
categorical__Main Cause_cloudburst & flash floods,5.18743135354451e-05
categorical__Main Cause_heavy rains.,4.93640136799246e-05
"categorical__Main Cause_severe (ujen,ojat)",4.763412249020292e-05
"categorical__Main Cause_flash flood (narmada,tapi)",4.703405493832976e-05
categorical__Main Cause_flash floods in rambhan stream by a cloud burst,4.641954474994311e-05
categorical__Main Cause_flood & landslide,4.599093151241165e-05
"categorical__Main Cause_floods in ghaghara, rapti & gandak ri vers",4.512297763906806e-05
categorical__Main Cause_heavy rains & cloud burst,4.49212263942132e-05
categorical__Main Cause_severe(flooding of all major rivers),4.480751068016788e-05
categorical__Main Cause_heavy rains & flood in sheonath river,4.407455920277215e-05
categorical__Main Cause_cloud burst & heavy rains,4.405136947323968e-05
categorical__Main Cause_heavy rains & mudslide,4.315617800737844e-05
categorical__Main Cause_flood (ghaghra),4.2575508371852296e-05
"categorical__Main Cause_heavy rains & floods, landslide",4.222644649253542e-05
categorical__Main Cause_heavy rains & floods (rapti river),4.176536631291288e-05
"categorical__State_Bihar, Jharkhand",4.111798470270687e-05
categorical__Main Cause_heavy rains/floods,4.0210307125936685e-05
"categorical__Main Cause_flash flood (bagmati, kamla balan, mahanadi, burhi gandak,adhwara)",3.907822117971812e-05
categorical__Main Cause_cloudburst / flash floods,3.906830249608984e-05
categorical__Main Cause_severe floods in dhundh river.,3.866860921075593e-05
categorical__Main Cause_severe(all the major rivers),3.8664991665038776e-05
"categorical__Main Cause_flood ( ganga,phulhar)",3.738960354358121e-05
"categorical__Main Cause_severe (mahanadi, brahmani, baitarni & devi rivers)",3.73813738725678e-05
"categorical__State_Goa, Daman and Diu",3.591509077709479e-05
categorical__Main Cause_heavy rains following cloud burst,3.463048823063324e-05
categorical__Main Cause_flash flood (brahmaputra),3.453406453693581e-05
categorical__Main Cause_heavy rains & flash  floods,3.372600409394316e-05
"categorical__Main Cause_flash flood (krishna, ghatprabha,malprabha)",3.29575656663856e-05
categorical__Main Cause_severe flood (mahanadi & its tributaries),3.255949373303754e-05
categorical__Main Cause_heavy rains & floods in ganga & tributaries,3.199129573344225e-05
categorical__Main Cause_torrential rains & landslides,3.191536230266613e-05
"categorical__Main Cause_severe flood(mahanadi,its triutaries)",3.175527123533852e-05
"categorical__Main Cause_flood(kuzhithurai ,sitraru rivers)",3.159416245885412e-05
"categorical__Main Cause_severe flood (narmada,its tributaries)",3.125690370315564e-05
"categorical__Main Cause_heavy rains & landslide, flash flood",3.0768489839174465e-05
"categorical__Main Cause_severe flood (bias, satlaj,ravi)",3.009805478153799e-05
categorical__Main Cause_flood in bhav river,2.970993131098624e-05
"categorical__Main Cause_flood (bhima, bindusara,chandrabhaga)",2.863000051499515e-05
"categorical__Main Cause_severe flood( ganga,its tributaries)",2.8609676545747284e-05
"categorical__Main Cause_severe( godavari, dudhana,poorna)",2.763069145015599e-05
categorical__Main Cause_flash floods triggered by cloudburst,2.758217991734401e-05
categorical__Main Cause_flash flood in tawi river & landslide,2.738252828438537e-05
categorical__Main Cause_heavy rain triggered landslips,2.649393590738545e-05
"categorical__Main Cause_severe flood . (brahmaputra,its tributaries)",2.5383067792086232e-05
categorical__State_Puducherry,2.511938963007004e-05
categorical__Main Cause_heavy rains & floods (venna river),2.5072269988019937e-05
categorical__Main Cause_heavy rains &  flash foods,2.3863562024949663e-05
"categorical__Main Cause_severe flood (narmada,sabarmati)",2.2884625743187426e-05
categorical__Main Cause_incessant rains,2.246192523998363e-05
categorical__Main Cause_heavy rains & floods (mutha river),2.2288485300917075e-05
categorical__Main Cause_continuous heavy rains,2.2257662007177552e-05
"categorical__Main Cause_flodds in rapti, burhi,ghagra rivers",2.0878942643886677e-05
categorical__Main Cause_flash flood (mal river),2.022791110636844e-05
categorical__Main Cause_flash flood (krishna),2.0140710369805863e-05
categorical__Main Cause_heay rains,1.98253617856811e-05
"categorical__Main Cause_flood (beas, ghagar, sutlej)",1.9769483960889145e-05
categorical__Main Cause_heavy rains(landslide),1.925139434233764e-05
"categorical__State_Rajasthan, Bihar, Madhya Pradesh, Gujarat, Maharashtra, Uttar Pradesh",1.866731279921265e-05
categorical__Main Cause_heavy rain / flash floods,1.786329788877937e-05
categorical__Main Cause_heavy rains & floods (vishwamitri river),1.7543928996857456e-05
categorical__Main Cause_flash flood caused by cloud burst,1.7230503423474537e-05
"categorical__State_Andhra Pradesh, Telangana",1.6558454988721547e-05
categorical__State_Ladakh,1.6463916172032883e-05
categorical__Main Cause_flood (mahanadi),1.6132439489979197e-05
"categorical__Main Cause_heavy rains, flash floods & cloudburst",1.5967726696335575e-05
"categorical__Main Cause_severe flood (dikhow, desang, brahmaputra)",1.543178147470129e-05
categorical__State_Andaman & Nicobar Islands,1.5283019699798246e-05
categorical__Main Cause_flash floods triggered by torrential rain,1.5204004965414624e-05
"categorical__Main Cause_severe(godavari, krishna, bhima, pravara, koyna, manjura, manwad, lendi, kayadu, penganga,warna)",1.4920041632537191e-05
categorical__Main Cause_cloud burst & floods (manjhi river),1.4733983513895175e-05
categorical__Main Cause_severe flood(tapi),1.3952554066118414e-05
categorical__State_New Delhi,1.3866250077316085e-05
"categorical__Main Cause_heavy rains, flash floods landslide",1.3524220451293736e-05
categorical__Main Cause_heavy rains & floods (nilambur river),1.3267566091906922e-05
"categorical__State_Uttar Pradesh, Bihar, Odisha, West Bengal",1.322973404519609e-05
categorical__Main Cause_flash  floods,1.3142127961030456e-05
"categorical__Main Cause_severe flood(bagmati, kosi,kamala balan)",1.282466709237924e-05
"categorical__Main Cause_flood (baitrani, budhaba langa, subarnarekha,mahanadi)",1.2804147547035972e-05
categorical__Main Cause_floods (torsa river),1.2261231488592707e-05
"categorical__Main Cause_severe flood(adhwara, burhi gandak, gandak, kosi,pun pun",1.204091989116532e-05
categorical__Main Cause_heavy rains & water from mountains,1.1926766187825192e-05
"categorical__Main Cause_severe, moderate to severe",1.1889420893502272e-05
"categorical__Main Cause_modern floods, flash floods, heavy rains",1.1881019393609687e-05
categorical__Main Cause_mud slip,1.1271366843357772e-05
"categorical__Main Cause_heavy rains, floods &  landslide",1.0741578683992653e-05
