Unnamed: 0,UEI,Start Date,End Date,Duration(Days),Main Cause,Districts,State,Human fatality,Human injured,Human Displaced,Animal Fatality,Description of Casualties/injured,Extent of damage,Event Source,District_LGD_Codes,State_Codes,Start_Year,Start_Month,Start_Day,High_Impact
4723,UEI-IMD-FL-2016-0121,2016-03-12,2016-03-12,1.0,heavy rains,Meerut,Uttar Pradesh,5.0,,,,5 persons died due to wall collapse.,Extensive damage to building reported.,IMD,169.0,9.0,2016.0,3.0,12.0,0
4724,UEI-IMD-FL-2016-0122,2016-07-01,2016-07-03,3.0,heavy rains,"Bahraich, Gonda, Basti, Gorakhpur, Deoria, Ballia, Azamgarh, Ayodhya, Sultanpur, Jaunpur, Ghazipurr, Varanasi, Mirzapur, Prayagraj, Pratapgarh",Uttar Pradesh,26.0,,,,26 persons died.,"Damage to Mango, Maize crops reported.",IMD,,9.0,2016.0,7.0,1.0,1
4725,UEI-IMD-FL-2016-0123,2016-07-18,2016-07-18,1.0,heavy rains,"Meerut, Bulandshahr, Gautam Buddha Nagar, Ghaziabad, Hapur, Baghpat, Saharanpur, Muzaffarnagar, Shamli, Moradabad, Bijnor, Rampur, Amroha, Sambhal, Bareilly, Budaun, Pilibhit, Shahjahanpur, Agra, Firozabad, Mainpuri, Mathura, Aligarh, Etah, Hathras, Kasganj, Etawah, Auraiya,Farrukhabad",Uttar Pradesh,10.0,,,,10 persons died.,"Damage to Mango, Maize crops reported.",IMD,,9.0,2016.0,7.0,18.0,1
4726,UEI-IMD-FL-2016-0124,2016-07-30,2016-07-30,1.0,heavy rains,"Bahraich, Gonda, Basti, Gorakhpur, Deoria, Ballia, Azamgarh, Ayodhya, Sultanpur, Jaunpur, Ghazipurr, Varanasi, Mirzapur, Prayagraj, Pratapgarh",Uttar Pradesh,3.0,,,,3 persons died.,"Damage to Mango, Maize crops reported.",IMD,,9.0,2016.0,7.0,30.0,0
4727,UEI-IMD-FL-2016-0125,2016-08-16,2016-08-16,1.0,heavy rains,"Bahraich, Gonda, Basti, Gorakhpur, Deoria, Ballia, Azamgarh, Ayodhya, Sultanpur, Jaunpur, Ghazipurr, Varanasi, Mirzapur, Prayagraj, Pratapgarh",Uttar Pradesh,8.0,,,,8 persons died.,Damage to crops reported.,IMD,,9.0,2016.0,8.0,16.0,0
4729,UEI-IMD-FL-2016-0127,2016-05-22,2016-05-22,1.0,landslide,Dehradun,Uttarakhand,10.0,5.0,,,10 labourers died & 5 other injured.,,IMD,49.0,5.0,2016.0,5.0,22.0,1
4730,UEI-IMD-FL-2016-0128,2016-05-28,2016-05-28,1.0,cloud burst,"Tehri Garhwal,Uttar Kashi Kashi",Uttarakhand,5.0,,,,5 persons died.,,IMD,,5.0,2016.0,5.0,28.0,0
4731,UEI-IMD-FL-2016-0129,2016-07-03,2016-07-03,1.0,cloud burst,"Chamoli, Pithoragarh",Uttarakhand,20.0,12.0,,,20 persons died & 12 others missing.,i) 150 families affected ii) 4 houses fully & 12 houses partially damaged.,IMD,,5.0,2016.0,7.0,3.0,1
4732,UEI-IMD-FL-2016-0130,2016-07-16,2016-07-17,2.0,heavy rains & heavy rains &,"Dehradun, Nainital, Tehri Garhwal, Uttar Kashi Kashi",Uttarakhand,15.0,,,,15 persons died.,"i) Rishikesh-Badrinath national highway,the Rishikesh - Kedarnath National Highway between Sonprayag,Gaurikund, remained cut off. ii) Damage to several bridges across the state reported.",IMD,,5.0,2016.0,7.0,16.0,1
4733,UEI-IMD-FL-2016-0131,2016-07-21,2016-07-23,3.0,landslide,Dehradun,Uttarakhand,11.0,,,,11 persons died.,,IMD,49.0,5.0,2016.0,7.0,21.0,1
