Feature,Importance
categorical__Main Cause_flash flood or moderate flood,6.814539664863763e-05
"categorical__Main Cause_heavy rains, moderate, severe",6.804195685294193e-05
"categorical__Main Cause_flood (karamana, neyyak,vamanapuram)",6.765528034227137e-05
categorical__Main Cause_moderate (kajihi),6.636627110893392e-05
"categorical__Main Cause_flash flood(baksa, dhaleswari,kushiara)",6.572559725007329e-05
categorical__Main Cause_flash flood (jhelum),6.494458611655719e-05
"categorical__Main Cause_heavy rains & flood  (brahmaputra,tributaries)",6.467324552741208e-05
categorical__Main Cause_landslip,6.415557518854835e-05
categorical__Main Cause_heavy rain & flash floods,6.243188076543721e-05
"categorical__Main Cause_flash flood (brahmaputra,its tributaries)",6.009815325388323e-05
categorical__Main Cause_heavy rains & floods (godavari river),5.891368966928615e-05
"categorical__Main Cause_severe(flash flooding in palar,mahakamanta)",5.6665661906065155e-05
categorical__Main Cause_heavy rain & flash flood,5.6087751567519564e-05
"categorical__Main Cause_severe flood(saktola,pahumora)",5.5905886143519424e-05
categorical__Main Cause_flash flood(tambraparni river),5.5382298082172084e-05
categorical__Main Cause_heavy rains & cloudburst,5.482866776459231e-05
categorical__Main Cause_flood (ujh),5.345373807757551e-05
categorical__Main Cause_cloudburst & flash floods,5.18743135354451e-05
categorical__Main Cause_heavy rains.,4.9364013679924595e-05
"categorical__Main Cause_severe (ujen,ojat)",4.7634122490202915e-05
"categorical__Main Cause_flash flood (narmada,tapi)",4.703405493832976e-05
categorical__Main Cause_flash floods in rambhan stream by a cloud burst,4.641954474994311e-05
categorical__Main Cause_flood & landslide,4.599093151241165e-05
"categorical__Main Cause_floods in ghaghara, rapti & gandak ri vers",4.512297763906806e-05
categorical__Main Cause_heavy rains & cloud burst,4.49212263942132e-05
categorical__Main Cause_severe(flooding of all major rivers),4.480751068016788e-05
categorical__Main Cause_heavy rains & flood in sheonath river,4.4074559202772147e-05
categorical__Main Cause_cloud burst & heavy rains,4.405136947323968e-05
categorical__Main Cause_heavy rains & mudslide,4.315617800737844e-05
categorical__Main Cause_flood (ghaghra),4.2575508371852296e-05
"categorical__Main Cause_heavy rains & floods, landslide",4.222644649253542e-05
categorical__Main Cause_heavy rains & floods (rapti river),4.176536631291288e-05
"categorical__State_Bihar, Jharkhand",4.1117984702706866e-05
categorical__Main Cause_heavy rains/floods,4.0210307125936685e-05
"categorical__Main Cause_flash flood (bagmati, kamla balan, mahanadi, burhi gandak,adhwara)",3.907822117971812e-05
categorical__Main Cause_cloudburst / flash floods,3.9068302496089835e-05
categorical__Main Cause_severe floods in dhundh river.,3.866860921075593e-05
categorical__Main Cause_severe(all the major rivers),3.8664991665038776e-05
"categorical__Main Cause_flood ( ganga,phulhar)",3.738960354358121e-05
"categorical__Main Cause_severe (mahanadi, brahmani, baitarni & devi rivers)",3.73813738725678e-05
"categorical__State_Goa, Daman and Diu",3.591509077709479e-05
categorical__Main Cause_heavy rains following cloud burst,3.463048823063324e-05
categorical__Main Cause_flash flood (brahmaputra),3.453406453693581e-05
categorical__Main Cause_heavy rains & flash  floods,3.372600409394316e-05
"categorical__Main Cause_flash flood (krishna, ghatprabha,malprabha)",3.2957565666385596e-05
categorical__Main Cause_severe flood (mahanadi & its tributaries),3.255949373303754e-05
categorical__Main Cause_heavy rains & floods in ganga & tributaries,3.199129573344225e-05
categorical__Main Cause_torrential rains & landslides,3.191536230266613e-05
"categorical__Main Cause_severe flood(mahanadi,its triutaries)",3.175527123533852e-05
"categorical__Main Cause_flood(kuzhithurai ,sitraru rivers)",3.159416245885412e-05
"categorical__Main Cause_severe flood (narmada,its tributaries)",3.125690370315564e-05
"categorical__Main Cause_heavy rains & landslide, flash flood",3.0768489839174465e-05
"categorical__Main Cause_severe flood (bias, satlaj,ravi)",3.009805478153799e-05
categorical__Main Cause_flood in bhav river,2.9709931310986242e-05
"categorical__Main Cause_flood (bhima, bindusara,chandrabhaga)",2.863000051499515e-05
"categorical__Main Cause_severe flood( ganga,its tributaries)",2.8609676545747284e-05
"categorical__Main Cause_severe( godavari, dudhana,poorna)",2.763069145015599e-05
categorical__Main Cause_flash floods triggered by cloudburst,2.7582179917344015e-05
categorical__Main Cause_flash flood in tawi river & landslide,2.738252828438537e-05
categorical__Main Cause_heavy rain triggered landslips,2.6493935907385454e-05
"categorical__Main Cause_severe flood . (brahmaputra,its tributaries)",2.5383067792086232e-05
categorical__State_Puducherry,2.511938963007004e-05
categorical__Main Cause_heavy rains & floods (venna river),2.5072269988019937e-05
categorical__Main Cause_heavy rains &  flash foods,2.3863562024949666e-05
"categorical__Main Cause_severe flood (narmada,sabarmati)",2.2884625743187422e-05
categorical__Main Cause_incessant rains,2.246192523998363e-05
categorical__Main Cause_heavy rains & floods (mutha river),2.2288485300917075e-05
categorical__Main Cause_continuous heavy rains,2.2257662007177552e-05
"categorical__Main Cause_flodds in rapti, burhi,ghagra rivers",2.0878942643886673e-05
categorical__Main Cause_flash flood (mal river),2.0227911106368436e-05
categorical__Main Cause_flash flood (krishna),2.0140710369805866e-05
categorical__Main Cause_heay rains,1.98253617856811e-05
"categorical__Main Cause_flood (beas, ghagar, sutlej)",1.9769483960889145e-05
categorical__Main Cause_heavy rains(landslide),1.9251394342337636e-05
"categorical__State_Rajasthan, Bihar, Madhya Pradesh, Gujarat, Maharashtra, Uttar Pradesh",1.8667312799212655e-05
categorical__Main Cause_heavy rain / flash floods,1.786329788877937e-05
categorical__Main Cause_heavy rains & floods (vishwamitri river),1.7543928996857456e-05
categorical__Main Cause_flash flood caused by cloud burst,1.7230503423474537e-05
"categorical__State_Andhra Pradesh, Telangana",1.6558454988721547e-05
categorical__State_Ladakh,1.6463916172032883e-05
categorical__Main Cause_flood (mahanadi),1.6132439489979197e-05
"categorical__Main Cause_heavy rains, flash floods & cloudburst",1.5967726696335575e-05
"categorical__Main Cause_severe flood (dikhow, desang, brahmaputra)",1.543178147470129e-05
categorical__State_Andaman & Nicobar Islands,1.5283019699798246e-05
categorical__Main Cause_flash floods triggered by torrential rain,1.5204004965414624e-05
"categorical__Main Cause_severe(godavari, krishna, bhima, pravara, koyna, manjura, manwad, lendi, kayadu, penganga,warna)",1.4920041632537191e-05
categorical__Main Cause_cloud burst & floods (manjhi river),1.4733983513895175e-05
categorical__Main Cause_severe flood(tapi),1.3952554066118414e-05
categorical__State_New Delhi,1.3866250077316083e-05
"categorical__Main Cause_heavy rains, flash floods landslide",1.3524220451293735e-05
categorical__Main Cause_heavy rains & floods (nilambur river),1.3267566091906922e-05
"categorical__State_Uttar Pradesh, Bihar, Odisha, West Bengal",1.322973404519609e-05
categorical__Main Cause_flash  floods,1.3142127961030456e-05
"categorical__Main Cause_severe flood(bagmati, kosi,kamala balan)",1.2824667092379239e-05
"categorical__Main Cause_flood (baitrani, budhaba langa, subarnarekha,mahanadi)",1.2804147547035972e-05
categorical__Main Cause_floods (torsa river),1.2261231488592709e-05
"categorical__Main Cause_severe flood(adhwara, burhi gandak, gandak, kosi,pun pun",1.2040919891165321e-05
categorical__Main Cause_heavy rains & water from mountains,1.1926766187825192e-05
"categorical__Main Cause_severe, moderate to severe",1.1889420893502272e-05
"categorical__Main Cause_modern floods, flash floods, heavy rains",1.1881019393609687e-05
categorical__Main Cause_mud slip,1.1271366843357773e-05
"categorical__Main Cause_heavy rains, floods &  landslide",1.0741578683992653e-05
categorical__Main Cause_flood (gomati),1.0553728829019435e-05
